date,total_bitcoins
11/14/2015,14836464.58
11/17/2015,14850273.96
11/21/2015,14864137.5
11/24/2015,14877365.63
11/27/2015,14890537.5
12/1/2015,14903985.42
12/4/2015,14917487.5
12/8/2015,14931012.5
12/11/2015,14944462.5
12/14/2015,14957736.46
12/17/2015,14971012.5
12/20/2015,14984431.25
12/24/2015,14997787.5
12/27/2015,15011212.5
12/30/2015,15024662.5
1/3/2016,15037887.5
1/6/2016,15051144.79
1/10/2016,15064487.5
1/13/2016,15077687.5
1/17/2016,15090637.5
1/20/2016,15103712.5
1/23/2016,15116787.5
1/27/2016,15129987.5
1/30/2016,15143241.67
2/2/2016,15156405.21
2/5/2016,15169853.13
2/8/2016,15183137.5
2/11/2016,15196262.5
2/14/2016,15209512.5
2/17/2016,15222512.5
2/21/2016,15235712.5
2/25/2016,15248737.5
2/29/2016,15261862.5
3/3/2016,15274920.83
3/7/2016,15287837.5
3/10/2016,15300887.5
3/14/2016,15313812.5
3/17/2016,15326812.5
3/21/2016,15339812.5
3/24/2016,15352873.96
3/28/2016,15365787.5
3/31/2016,15378756.25
4/4/2016,15391912.5
4/7/2016,15404962.5
4/11/2016,15417912.5
4/14/2016,15430912.5
4/17/2016,15443912.5
4/21/2016,15456887.5
4/25/2016,15469887.5
4/28/2016,15482962.5
5/2/2016,15496021.88
5/5/2016,15509087.5
5/8/2016,15522087.5
5/12/2016,15535041.67
5/15/2016,15548087.5
5/19/2016,15561087.5
5/23/2016,15574087.5
5/26/2016,15587087.5
5/30/2016,15600087.5
6/2/2016,15613116.67
6/6/2016,15626087.5
6/9/2016,15639028.13
6/13/2016,15652012.5
6/16/2016,15664987.5
6/20/2016,15677927.08
6/23/2016,15691037.5
6/27/2016,15703937.5
6/30/2016,15717112.5
7/4/2016,15730212.5
7/7/2016,15743312.5
7/11/2016,15753168.75
7/15/2016,15759643.75
7/18/2016,15766143.75
7/22/2016,15772606.25
7/26/2016,15779093.75
7/30/2016,15785601.04
8/2/2016,15792068.75
8/6/2016,15798518.75
8/9/2016,15804990.1
8/13/2016,15811431.25
8/16/2016,15817893.75
8/20/2016,15824406.25
8/23/2016,15830881.25
8/27/2016,15837443.75
8/30/2016,15843931.25
9/3/2016,15850443.75
9/6/2016,15856906.25
9/10/2016,15863406.25
9/13/2016,15869943.75
9/16/2016,15876418.75
9/20/2016,15882856.25
9/23/2016,15889331.25
9/26/2016,15895831.25
9/30/2016,15902281.25
10/3/2016,15908752.08
10/7/2016,15915231.25
10/10/2016,15921693.75
10/14/2016,15928206.25
10/18/2016,15934668.75
10/21/2016,15941106.25
10/25/2016,15947556.25
10/28/2016,15954006.25
11/1/2016,15960506.25
11/4/2016,15966943.75
11/8/2016,15973406.25
11/11/2016,15979868.75
11/14/2016,15986343.75
11/17/2016,15992793.75
11/21/2016,15999243.75
11/25/2016,16005756.25
11/28/2016,16012218.75
12/2/2016,16018693.75
12/5/2016,16025156.25
12/8/2016,16031642.19
12/12/2016,16038168.75
12/15/2016,16044618.75
12/19/2016,16051106.25
